tweet_id	ses	timestamp	tweet_text	user_id	user_name	user_screen_name	tweet_loc_	user_loc_	off	resp	stereo
1581733745639686144	yes	Sun Oct 16 19:48:06 +0000 2022	@AOC @nysci @QCHnyc Spoken by another welfare scavenger. 🙄😅	1499580169400594435	J. C. Frederick 🇺🇸	JCFUSMC		United States	yes	individual	['welfare  ', 'scavenger  ']
1611839488912945152	yes	Sat Jan 07 21:37:35 +0000 2023	@Killgraft @GigiGoodgame @JoshuaPHilll I think you’ll probably still vote for democrats that will increase the city police budget more than any line item related to helping poor people.	1586061984750923777	iThinkItsASign	bornfooldiecool		United States	no	structural	['poor people  ', 'dependent on government assistance  ']
1625292354377723905	yes	Tue Feb 14 00:34:28 +0000 2023	He come home everyday looking like a homeless child and I send him to school clean and well put together. I’m done wit that!	3362139261	The Princess of your TL 💕	ThatsSoooKeke	United States	United States	yes	individual	['homeless  ', 'unkempt  ']
1577240805630414848	yes	Tue Oct 04 10:14:46 +0000 2022	@StellaParton Yes, they look down on homeless people, and now much of the state has become homeless &amp; they stand there and beg for help from Biden.	361243604	Sandy	LSandra61		United States	yes	none	['look down on  ', 'beg for help  ']
1616607631166119936	yes	Sat Jan 21 01:24:29 +0000 2023	@5ame9ame @MarshaBlackburn The economy grew by 33% before trump left office and Biden has had a negative growth rate almost as poor as Obama did	22715835	Jeremy975 🇺🇸	jeremy975		United States	no	none	[]
1582253272286793728	yes	Tue Oct 18 06:12:31 +0000 2022	@1508flrt Rich people get richer and poor think every opportunity as a scam😯…To get paid you just have to believe and be loyal dm and get spoiled	1581117396525322240	Adri	sam908363		United States	yes	individual	['poor  ', 'gullible  ', 'dependent on others  ']
1590185290597306368	yes	Wed Nov 09 03:31:32 +0000 2022	@GOP And he fucked over the working class like a true Republican https://t.co/S6vDzqI9C9	906368038676586497	4 EverMokum	FransHibma		United States	yes	individual	['working class exploitation  ', 'true Republican']
1613954972521234432	yes	Fri Jan 13 17:43:45 +0000 2023	@MeidasTouch Nothing like comparing a deficit to a number where an entire country was on welfare. Lol	836188867913007104	Al Czervik (Ron)	Al_CzervikUSA		United States	yes	individual	['dependent on welfare  ', 'irresponsible with finances  ']
1631859709488648192	yes	Sat Mar 04 03:30:47 +0000 2023	@DavidCornDC @SriJhansi3 Pandemic kills people, sad and tragic as it is but WOKENESS wipes out civilizations- Stalin, Mao, Pol Pot, Idi Amin, European colonizers, Bible carrying zealots, all were fighting for equality, Justice, fighting for poor farmers and workers.	1358410391202664460	Mohinder Gulati 🇮🇳	MohinderGulati		United States	no	none	[]
1569403100322238464	yes	Mon Sep 12 19:10:31 +0000 2022	Maybe, and hear me out, profiling these people as poor, forgotten, economically anxious Americans in diners wasn't such a good idea after all.	760234705618870273	Andrea R MD	AndreaR9Md		United States	no	none	[]
1629976269541523458	yes	Sun Feb 26 22:46:40 +0000 2023	@alx It’s $50 billion and not $150bn, but I think it’s great conservatives think we should spend more taxpayer money to take care of the poor!! It should be easy considering $50 billion is about 1% of the US federal budget	1263383197603282944	CITIZEN PETE	CitizenPete101		United States	no	none	[]
1609404941432680448	yes	Sun Jan 01 04:23:33 +0000 2023	@RealMattCouch Investigate Pelosi and Biden. Poor train rider gets filthy rich! Maybe Zelenski &amp; China can explain where Joe got his dough!!	801421243245154304	DL Harris	SqueakyHarris		United States	no	individual	['poor  ', 'filthy rich  ']
1582541096038825985	yes	Wed Oct 19 01:16:14 +0000 2022	The most fucked up thing about the Biden administration, aside from you know being homeless and starving...You can't even do drugs anymore! Nothing is safe now. The cartels have flooded our country with fentynal and it's in EVERYTHING! There goes our Saturday nights 🖕🖕🐝	984009096	Nichol Brooke	IndianaHoneyBee		United States	no	individual	['homeless  ', 'starving  ', 'drug use  ', 'unsafe']
1620592176660119555	yes	Wed Feb 01 01:17:38 +0000 2023	2.2 billion in weapons for Ukraine. 50 Billion in Humanitarian aid. Do any of you rich, elite even bother to look at the American people? Middle class, decimated. Millions homeless. 7 Million in America are food starved. What reality do you Republicans and Democrats live?	1391670709093642240	Jaha Hughes	Jaywatches2		United States	no	structural	['rich elite  ', 'middle class decimated  ', 'homeless  ', 'food starved  ']
1570931836041461762	yes	Sat Sep 17 00:25:10 +0000 2022	@GavinNewsom Nah. Wish he were my governor. You are allowing the homeless and ILLEGAL IMMIGRANTS ruin this beautiful state. Fix OUR problems and let DeSantis govern how he chooses	1016515540192460800	Truefactivist	truefactavist		United States	yes	individual	['homeless  ', 'illegal immigrants  ', 'ruin the state  ']
1620148128090583040	yes	Mon Jan 30 19:53:09 +0000 2023	@EriabMuluuta2 God bless you for all you do. We also have a youth group for ages 9-17. We have kids that are at high risk and disadvantaged kids. We have been doing this for over 25 years. We work with horses and mules. The kids are amazing, I will as soon as I can. https://t.co/5wxCxHFDMX	816683285749252096	Eileen	EileenH90140267	United States	United States	no	none	[]
1628789458563743745	yes	Thu Feb 23 16:10:43 +0000 2023	@hart_timothy @Ben_In_Utah @BlackBlessedLDS Wards PRIMARILY use fast offerings but in my experience the amount a Bishop gives out in welfare funds almost always exceeds the amount brought in fast offerings. I was giving out roughly 5x what I was bringing in and I was not atypical.	711058058932170753	Nunca Trumpismo	NeverTrumpTexan		United States	no	none	['dependent on welfare  ', 'excessive reliance on assistance  ']
1576054630030594048	yes	Sat Oct 01 03:41:20 +0000 2022	Bill Maher: you do know there's a black working class cause I never hear you mention it. Van Jones: hangs head 😳 Real Time with Bill Maher	23931724	Brian's Granny	deschl		United States	no	none	['uneducated  ', 'working class']
1633615595898798080	yes	Wed Mar 08 23:48:03 +0000 2023	@ScottNSherry2 @FarmGirlCarrie Practically all of them are except maybe New Mexico. Red states are good for business w low taxes but in general, bad for residents where there's not enough tax rev to pay for education healthcare or programs for the poor, &amp; the fed gov &amp; blue states subsidize their budgets https://t.co/f66DGCfk2L	1659152678	Mary Ward	Wardmaryb		United States	no	structural	['bad for residents  ', 'programs for the poor  ']
1607080193067470851	yes	Sun Dec 25 18:25:50 +0000 2022	@OttoMatticBaby $anthonyrappo anything helps bro I’ve never been homeless on Christmas Day before.	1603815514203209740	Anthony Rappo	TheRealRappo		United States	no	individual	[]
1619090704508108805	yes	Fri Jan 27 21:51:19 +0000 2023	@mexamenian1 @POTUS Millionaires and billionaires who pay 50-60% would only be at 30%. Since this applies to everyone. Anyone who pays less than 30% would wind up paying more in national tax than income tax. Unless they could avoid spending money altogether.	2421512584	L e t it g r o w	letitgrow_eth		United States	no	none	[]
1618758746813128704	yes	Thu Jan 26 23:52:14 +0000 2023	@POTUS You must be kidding. Why are there more homeless people since you’ve take office.	92198530	Joseph Kaiser	jkaiser8059		United States	no	individual	[]
1618499882368798721	yes	Thu Jan 26 06:43:36 +0000 2023	@SadlyTemporary @porkistasty @shaunrein Incorrect. PRC’s current Gini coefficient is almost double that of SK/ROK during their democratic transition. In these import substitution economies only when you have widely distributed wealth can you transition. Otherwise only leninism/chiangism keeps a lid on the angry poor	1496854813857964039	Faustian fellah	faustian_fellah		United States	yes	structural	['angry poor  ', 'widely distributed wealth']
